run_id,model,session_id,persona,n_trials,alpha,beta,nll,converged
0,deepseek,1,baseline,100,0.0219075348032538,4.7563773055689,88.8896093152261,True
1,deepseek,2,baseline,100,0.518850477006181,0.48248695296546,114.211716711752,True
2,deepseek,3,baseline,100,0.453757752796587,0.330077352647021,122.821604564857,True
3,deepseek,4,baseline,100,0.000527906172835273,100,106.785348051689,True
4,deepseek,5,baseline,100,0.113911843812239,0.744301863666985,128.283258887317,True
5,deepseek,6,baseline,100,0.0343855541675562,7.73401049362875,57.4207866447346,True
6,deepseek,7,baseline,100,0.00127416625316096,100,91.6986361925489,True
7,deepseek,8,baseline,100,0.0208599832158587,12.5658317177149,55.9434531419139,True
8,deepseek,9,baseline,100,0.0181856540523712,14.0421981891517,78.6998069546573,True
9,deepseek,10,baseline,100,0.206233267681219,0.757771598410355,115.143723552192,True
10,deepseek,11,baseline,100,0.522351887489088,0.278909677284362,117.819482450166,True
11,deepseek,12,baseline,100,0.0728365165126602,7.33112773851093,55.9735704966643,True
12,deepseek,13,baseline,100,0.668732213695938,0.693632176973546,82.3961346775515,True
13,deepseek,14,baseline,100,0.345120926738402,0.294157073765531,126.955623608373,True
14,deepseek,15,baseline,100,0.0124319471407754,11.9587378260948,92.9913331114662,True
15,deepseek,16,baseline,100,0.0103063482564514,9.39027978268147,103.198095360293,True
16,deepseek,17,baseline,100,0.0527980020529999,6.12664055085778,60.0786063578578,True
17,deepseek,18,baseline,100,0.422424806953521,0.378873162929352,110.956595169612,True
18,deepseek,19,baseline,100,0.351000693510752,0.218190348311707,131.587807107581,True
19,deepseek,20,baseline,100,0.000732471017838897,100,96.4819893080075,True
20,deepseek,21,baseline,100,0.00278025252331792,69.3580709322835,82.1631315653846,True
21,deepseek,22,baseline,100,0.0220132451314256,7.66080354613506,73.0492002206402,True
22,deepseek,23,baseline,100,0.9999,0.161897696346363,118.587892827703,True
23,deepseek,24,baseline,100,0.000946388356021828,100,78.8819522076215,True
24,deepseek,25,baseline,100,0.447765705394855,0.183339911701032,128.179950915062,True
25,deepseek,26,baseline,100,0.00462680713099912,20.4775836393588,73.5173859712968,True
26,deepseek,27,baseline,100,0.0151931256567187,9.72873009291142,67.8478528447895,True
27,deepseek,28,baseline,100,0.248997084282958,0.342568272419181,132.745264183048,True
28,deepseek,29,baseline,100,0.0414346533533251,4.67589953610359,84.0463614657813,True
29,deepseek,30,baseline,100,0.000520215650093569,100,115.180743876091,True
30,deepseek,31,baseline,100,0.0591852172163712,4.25666387071921,63.3449003504166,True
31,deepseek,32,baseline,100,0.455040108451562,0.457815369227625,116.291152380637,True
32,deepseek,33,baseline,100,0.0845786702363973,3.43205615664922,79.1724380411435,True
33,deepseek,34,baseline,100,0.65963503021152,0.383493939917937,114.872808754249,True
34,deepseek,35,baseline,100,0.241956620663661,0.763105299942842,103.574089516488,True
35,deepseek,36,baseline,100,0.0222321069726955,5.57675929594495,93.0874025929348,True
36,deepseek,37,baseline,100,0.494618813615596,1.69482184217124,72.4084707425744,True
37,deepseek,38,baseline,100,0.103309021381088,0.867042511394218,134.783712255907,True
38,deepseek,39,baseline,100,0.152762987151809,5.53022510862845,59.2075368521268,True
39,deepseek,40,baseline,100,0.00837984351357576,24.9969481780448,75.6236421535952,True
40,deepseek,41,baseline,100,0.0753111653222498,1.74840107751975,104.148767062056,True
41,deepseek,42,baseline,100,0.276046806872958,0.617109140467366,110.756935035646,True
42,deepseek,43,baseline,100,0.236705187801731,0.371419141828783,115.720119266639,True
43,deepseek,44,baseline,100,0.54092854157835,0.561580658615207,98.3322727106194,True
44,deepseek,45,baseline,100,0.054052019891863,2.19975396416632,108.621431524893,True
45,deepseek,46,baseline,100,0.0373379796733733,4.0273617610723,102.03951222314,True
46,deepseek,47,baseline,100,0.000285846426664387,100,126.809058047545,True
47,deepseek,48,baseline,100,0.140171556624257,1.74123262572782,93.5047355316612,True
48,deepseek,49,baseline,100,0.701423053467131,0.377479739602851,113.033271361521,True
49,deepseek,50,baseline,100,0.063196355172414,5.53427094723927,83.3510151731108,True
50,deepseek,1,exploratory,100,0.0633971039484789,0.0364854430409907,138.581130306831,True
51,deepseek,2,exploratory,100,0.00243758422480875,1.83338942667971,138.480975427946,True
52,deepseek,3,exploratory,100,0.306470026583468,0.0119886130778182,138.58310095532,True
53,deepseek,4,exploratory,100,0.0449074437259548,0.138091656746198,138.527183774939,True
54,deepseek,5,exploratory,100,0.0001,0.0001,138.629436237072,True
55,deepseek,6,exploratory,100,0.9999,0.0270260099551637,138.218277713465,True
56,deepseek,7,exploratory,100,0.000400872060826192,8.60603493489674,138.55354871513,True
57,deepseek,8,exploratory,100,0.332753839329379,0.0415927615134217,138.447048945097,True
58,deepseek,9,exploratory,100,0.0195583595959895,0.139320020577902,138.600140707561,True
59,deepseek,10,exploratory,100,0.174370400455291,0.0513607298501635,138.489426555541,True
60,deepseek,11,exploratory,100,0.0001,0.0001,138.62943630429,True
61,deepseek,12,exploratory,100,0.0622589737634132,0.0661584456881694,138.554804251187,True
62,deepseek,13,exploratory,100,0.00026222526944784,11.8150238848318,138.550499895211,True
63,deepseek,14,exploratory,100,0.0001,0.0001,138.629436426635,True
64,deepseek,15,exploratory,100,0.0001,0.0001,138.629436521685,True
65,deepseek,16,exploratory,100,0.147109729392342,0.0269416401479545,138.528261887886,True
66,deepseek,17,exploratory,100,0.735900044883948,0.0232926735745381,138.477371016218,True
67,deepseek,18,exploratory,100,0.000223186216204536,19.3301004522796,138.477052748397,True
68,deepseek,19,exploratory,100,0.0129220964460608,0.0859748040713784,138.62446991361,True
69,deepseek,20,exploratory,100,0.0001,0.0001,138.629436716357,True
70,deepseek,21,exploratory,100,0.9999,0.0190768930263958,138.228625407713,True
71,deepseek,22,exploratory,100,0.000558763218908904,0.648318556049014,138.628287963469,True
72,deepseek,23,exploratory,100,0.0105617329435065,0.0953668543935376,138.627232921147,True
73,deepseek,24,exploratory,100,0.0001,0.0001,138.629436126557,True
74,deepseek,25,exploratory,100,0.000244481704525237,8.92878841946837,138.549881912062,True
75,deepseek,26,exploratory,100,0.0171253807976687,0.141897096830744,138.605356262439,True
76,deepseek,27,exploratory,100,0.0001,0.0001,138.629436144581,True
77,deepseek,28,exploratory,100,0.062997914971245,0.0521491694356081,138.524704197167,True
78,deepseek,29,exploratory,100,0.0170640867107853,0.0956946556521124,138.616947728583,True
