run_id,session_id,variant,n_trials,alpha,beta,nll,converged
0,1,1,100,0.02696425630295472,29.136800390381705,11.535960457154356,True
1,2,1,100,0.00416775973208586,100.0,14.836925463953643,True
2,3,1,100,0.3898203884969416,1.6698804415648818,68.954670825217,True
3,4,1,100,0.03514193635426765,24.497319763234625,13.881011825617236,True
4,5,1,100,0.016719646770772402,17.05280930862423,42.928514888816665,True
5,6,1,100,0.03524501595302843,10.502452114388957,49.18762074636218,True
6,7,1,100,0.06322296599252572,16.512134466998507,19.218526643181765,True
7,8,1,100,0.2830506907254832,3.3189340688815583,26.6551003999151,True
8,9,1,100,0.0065752595376898084,100.0,30.22945348979607,True
9,10,1,100,0.2754007068981693,1.8721199658984555,62.38483633163129,True
10,11,1,100,0.1463506979255956,3.773464966334897,21.231300065963303,True
11,12,1,100,0.08848664896436009,12.240291594058512,24.243190678661136,True
12,13,1,100,0.007424240952690875,100.0,11.455259607757048,True
13,14,1,100,0.9999,1.0919853825350156,26.478440380962923,True
14,15,1,100,0.06809064411141826,14.661457815751,10.19554156223447,True
15,16,1,100,0.005099416819143092,100.0,26.565264807896515,True
16,17,1,100,0.0495072348137813,9.89626761380347,21.276558428598424,True
17,18,1,100,0.07455550982008667,22.22630351430593,6.994348517626074,True
18,19,1,100,0.008124026814903157,98.9610426798484,8.042168835558323,True
19,20,1,100,0.028631845773295753,37.24689329749884,36.92650328685003,True
20,21,1,100,0.057995066594969835,12.241886066895416,14.422860856060794,True
21,22,1,100,0.08455748440441625,11.813963139816515,11.336946041359607,True
22,23,1,100,0.9999,1.0784202120811066,24.906985926659758,True
23,24,1,100,0.7085130109380536,1.203513300693839,37.85045250616774,True
24,25,1,100,0.06981841736824936,10.23713440096136,37.50118493520964,True
25,26,1,100,0.17364354716274688,5.64204273304608,25.749617137410997,True
26,27,1,100,0.4009355536263088,1.0456701435054776,91.5967678069377,True
27,28,1,100,0.8551843815581737,0.3991561307671029,103.56002873480334,True
28,29,1,100,0.06468604890021358,100.0,3.8730155139013247,True
29,30,1,100,0.6893798649033674,1.313736437117495,50.34991269624801,True
30,31,1,100,0.7460967128033852,1.31505365150149,24.670442441325658,True
31,32,1,100,0.0016580104583920955,100.0,80.39877697578406,False
32,33,1,100,0.1407467375994993,4.527931403477199,31.689597876450005,True
33,34,1,100,0.08881526628424487,9.642395441575067,11.475227878174286,True
34,35,1,100,0.053358407632849436,26.39303054445217,9.13325921938293,True
35,36,1,100,0.03809420917582364,26.479528776992836,19.435122367912115,True
36,37,1,100,0.054285240214093956,13.830235226903302,18.444624375095863,True
37,38,1,100,0.06478541375538677,10.557320931839293,32.21292634443443,True
38,39,1,100,0.9999,1.049161899703328,29.84218413931339,True
39,40,1,100,0.09644199941019023,8.313831018652651,47.532169510229,True
40,41,1,100,0.2652313910479503,3.2563883159745033,44.603837529435395,True
41,42,1,100,0.008649353398811914,100.0,9.740887172599313,True
42,43,1,100,0.6973214358081229,1.4241177908380864,31.836164068157274,True
43,44,1,100,0.977555666125053,0.9757340107058032,37.68208811164986,True
44,45,1,100,0.06851091861720984,14.334577445662926,22.947995469013307,True
45,46,1,100,0.18249672441108122,2.978195674559785,74.16557608563124,True
46,47,1,100,0.007893928409990387,100.0,9.583375760963454,True
47,48,1,100,0.008051957080813191,100.0,7.874827886186212,True
48,49,1,100,0.056303424210568914,7.08605979025818,29.596794073283753,True
49,50,1,100,0.07506486844295894,13.94145086427139,20.321305211237295,True
50,51,1,100,0.0781443393286018,8.897087798532962,38.36872684420606,True
51,52,1,100,0.32776652108894316,2.5648049910077195,34.5911936892226,True
52,53,1,100,0.04803828752806013,16.690557765342422,28.853481667512014,True
53,54,1,100,0.0019383879967264305,100.0,52.571519928023285,True
54,55,1,100,0.36446692285849497,1.9516870897554408,43.55968905018367,True
55,56,1,100,0.06147948019614987,16.996232144404996,28.624463812978963,True
56,57,1,100,0.02413200552234055,9.287468205923433,51.91046171082319,True
