run_id,model,session_id,persona,n_trials,alpha,beta,nll,converged
0,gemini,1,baseline,100,0.0370357337784786,25.0770580402195,25.3437615851211,True
1,gemini,2,baseline,100,0.927472020339294,0.554846125487088,87.4795642792707,True
2,gemini,3,baseline,100,0.81932082409842,1.23951043855739,53.2989043686379,True
3,gemini,4,baseline,100,0.223038606775374,4.8422551060061,20.2651332189946,True
4,gemini,5,baseline,100,0.0953588271226038,12.2618818849045,23.2886501902432,True
5,gemini,6,baseline,100,0.0749328962034442,42.6938597957343,7.44029322037169,True
6,gemini,7,baseline,100,0.0770015940998259,14.9592964081419,9.04871750469596,True
7,gemini,8,baseline,100,0.025483245893579,15.2750109493619,45.1300432113455,True
8,gemini,9,baseline,100,0.0094633020113741,23.5573988077594,48.5587221554849,True
9,gemini,10,baseline,100,0.674441350922683,1.42185235868426,54.6053237616384,True
10,gemini,11,baseline,100,0.177600958983402,4.01157212581552,18.8994283129127,True
11,gemini,12,baseline,100,0.00871020679652002,100,10.5561604269364,True
12,gemini,13,baseline,100,0.233242800475824,3.4208744656792,38.4329759485984,True
13,gemini,14,baseline,100,0.047617549832862,11.7405951086886,22.070060340354,True
14,gemini,15,baseline,100,0.658505309486182,1.42724532273091,62.7953126714012,True
15,gemini,16,baseline,100,0.0853713267253749,9.39566861443904,25.6203752490427,True
16,gemini,17,baseline,100,0.094268376792672,14.8975194547135,15.9366622944753,True
17,gemini,18,baseline,100,0.9999,0.946177836234205,39.582122597009,True
18,gemini,19,baseline,100,0.0771925048403428,14.7249459110135,20.0235708607494,True
19,gemini,20,baseline,100,0.0650068884523215,10.6486234613462,47.623704850416,True
20,gemini,21,baseline,100,0.9999,1.16220475396375,52.9543341154522,True
21,gemini,22,baseline,100,0.00734867612617377,100,7.69263443175949,True
22,gemini,23,baseline,100,0.100380900733489,6.69499935636577,19.7780798496148,True
23,gemini,24,baseline,100,0.0846223791707486,8.17815213851269,25.8826281930921,True
24,gemini,25,baseline,100,0.00581862503188885,100,9.9767126525217,True
25,gemini,26,baseline,100,0.0498646889127519,17.2136406969745,7.98823422425873,True
26,gemini,27,baseline,100,0.332736588683523,2.26737801026747,28.9270106546625,True
27,gemini,28,baseline,100,0.9999,0.751819728652379,75.1722593355254,True
28,gemini,29,baseline,100,0.305565382643036,1.87792864141263,29.6348076204493,True
29,gemini,30,baseline,100,0.0620478931103623,14.4041566722514,16.2454416840769,True
30,gemini,31,baseline,100,0.288545098449195,4.34230112482228,24.8218515464376,True
31,gemini,32,baseline,100,0.204134887830094,4.91136957127571,33.0606522068479,True
32,gemini,33,baseline,100,0.0067779047314953,100,14.5725305093349,True
33,gemini,34,baseline,100,0.0356610049593071,28.7697474043039,23.2278526420116,True
34,gemini,35,baseline,100,0.0827165407142119,13.8978006119079,17.7944600968801,True
35,gemini,36,baseline,100,0.60404596617501,1.51274601414523,61.5660770858757,True
36,gemini,37,baseline,100,0.9999,1.02576668191096,46.8046427388242,True
37,gemini,38,baseline,100,0.0733531329747379,13.2222024196194,16.2099564645373,True
38,gemini,39,baseline,100,0.0420321951527727,10.3894862226473,71.1215842916117,True
39,gemini,40,baseline,100,0.663331883586508,1.22946828265437,46.4130635521165,True
40,gemini,41,baseline,100,0.0562135002830733,12.3887236189751,28.7048030068451,True
41,gemini,42,baseline,100,0.567425074499215,1.61712703293673,45.7150787154399,True
42,gemini,43,baseline,100,0.0932571014168733,7.92566813469183,29.9977226974885,True
43,gemini,44,baseline,100,0.9999,1.10784962225475,21.9572844776914,True
44,gemini,45,baseline,100,0.779165599560171,1.37832333627203,20.7207169635734,True
45,gemini,46,baseline,100,0.9999,1.07492808129521,55.0106710749729,True
46,gemini,47,baseline,100,0.462012287568392,2.38158778853183,15.5061616169948,True
47,gemini,48,baseline,100,0.9999,0.93947953786202,61.8238538834651,True
48,gemini,49,baseline,100,0.625553119555607,1.46318470898702,63.3827631563404,True
49,gemini,50,baseline,100,0.887121533432375,0.597231290858673,80.5688180291677,True
50,gemini,1,exploratory,100,0.00970522869851787,0.0967079528369432,138.624833965942,True
51,gemini,2,exploratory,100,0.0001,0.0001,138.629436237,True
52,gemini,3,exploratory,100,0.00035332634669672,5.33967786814014,138.617980294553,True
53,gemini,4,exploratory,100,0.000299337746680792,1.49192322643388,138.622460469744,True
54,gemini,5,exploratory,100,0.0001,0.0001,138.629436119656,True
55,gemini,6,exploratory,100,0.000105113610945968,2.44277523432721,138.628834605222,True
56,gemini,7,exploratory,100,0.00171112989743819,0.0141724994976378,138.629430006886,True
57,gemini,8,exploratory,100,0.0120874082322235,0.0413110162301769,138.62401408035,True
58,gemini,9,exploratory,100,0.000153967420387198,2.76392199747097,138.61622574535,True
59,gemini,10,exploratory,100,0.00110444673638238,1.00326850357507,138.610857321969,True
60,gemini,11,exploratory,100,0.0001,0.0001,138.629436199431,True
61,gemini,12,exploratory,100,0.0264173632841292,0.061905184624481,138.609540946291,True
62,gemini,13,exploratory,100,0.0202503332175639,0.11823068127511,138.597322630619,True
63,gemini,14,exploratory,100,0.109758325180869,0.0463492749180857,138.551777769129,True
64,gemini,15,exploratory,100,0.00665823855999794,0.0359940325343824,138.628166784543,True
65,gemini,16,exploratory,100,0.00566791904732378,0.0437869217984247,138.62912651518,True
